trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 1.0, 'e': 0.3134861808826053}",25,0,-43.41738816444876,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 1.0, 'e': 0.31036694126548503}",25,15,-10.04638227612129,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 1.0, 'e': 0.30727873860113125}",35,0,-39.84112539766403,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 1.0, 'e': 0.3042212640667041}",25,13,-3.2876754945077273,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 1.0, 'e': 0.30119421191220214}",20,13,9.563864959477907,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 1.0, 'e': 0.2981972794298874}",30,0,-15.638942254906379,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 1.0, 'e': 0.2952301669240142}",30,13,-19.51410021733145,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
124,False,"{'a': 1.0, 'e': 0.2922925776808594}",30,16,-10.866697733034323,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 1.0, 'e': 0.2893842179390506}",30,4,27.6100518955894,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 1.0, 'e': 0.2865047968601901}",20,14,-28.331869114503625,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 1.0, 'e': 0.2836540264997704}",20,0,-4.934728412567974,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 1.0, 'e': 0.2808316217783798}",20,4,-27.22850287497841,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 1.0, 'e': 0.27803730045319414}",25,11,1.97238410112298,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 1.0, 'e': 0.27527078308975234}",25,0,17.80704506389868,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 1.0, 'e': 0.2725317930340126}",25,17,14.237406280284421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 1.0, 'e': 0.2698200563846868}",20,8,-29.05764819420023,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 1.0, 'e': 0.26713530196585034}",25,0,-13.117378280567335,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 1.0, 'e': 0.26447726129982396}",25,0,-2.6375007900224716,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 1.0, 'e': 0.261845668580326}",20,14,11.713532798227291,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 1.0, 'e': 0.2592402606458915}",20,16,8.425931835216856,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 1.0, 'e': 0.2566607769535559}",25,11,10.811563829412846,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 1.0, 'e': 0.25410695955280027}",35,13,-10.542388935458295,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 1.0, 'e': 0.25157855305975646}",20,2,23.987438102955664,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 1.0, 'e': 0.24907530463166816}",25,15,-9.119989736941026,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 1.0, 'e': 0.24659696394160643}",20,15,10.782164304928298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 1.0, 'e': 0.2441432831534371}",25,0,6.977815571555336,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 1.0, 'e': 0.24171401689703645}",25,13,2.678580372864639,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 1.0, 'e': 0.23930892224375455}",25,0,26.966713482749796,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 1.0, 'e': 0.23692775868212176}",20,11,6.001503332031507,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 1.0, 'e': 0.23457028809379765}",25,17,5.469848006206485,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 1.0, 'e': 0.23223627472975883}",25,0,16.5403181090486,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 1.0, 'e': 0.22992548518672384}",25,12,2.3331186142936273,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 1.0, 'e': 0.22763768838381274}",30,16,17.44211331694417,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 1.0, 'e': 0.22537265553943872}",35,4,-65.64176767092943,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 2}",1
151,False,"{'a': 1.0, 'e': 0.22313016014842982}",25,5,26.41387848597187,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 1.0, 'e': 0.2209099779593782}",30,12,-0.31871502353028136,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 1.0, 'e': 0.21871188695221475}",20,12,18.08113391928908,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 1.0, 'e': 0.21653566731600707}",35,23,17.23600927393626,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 1.0, 'e': 0.21438110142697794}",25,10,-3.791484173585194,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 1.0, 'e': 0.21224797382674304}",20,0,11.025457292606085,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
157,False,"{'a': 1.0, 'e': 0.21013607120076472}",20,0,-15.805464673567295,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
158,False,"{'a': 1.0, 'e': 0.20804518235702046}",20,0,25.571233675783823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 1.0, 'e': 0.20597509820488344}",20,9,-19.4574085893052,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 1.0, 'e': 0.20392561173421342}",35,2,60.55168835592454,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 1.0, 'e': 0.20189651799465538}",20,3,-41.00395621848897,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
162,False,"{'a': 1.0, 'e': 0.1998876140751445}",20,4,-68.41001101779193,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
163,False,"{'a': 1.0, 'e': 0.19789869908361465}",25,7,17.861259839335126,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 1.0, 'e': 0.19592957412690934}",30,18,-2.525242599758222,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 1.0, 'e': 0.19398004229089189}",20,0,17.370428751230936,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 1.0, 'e': 0.19204990862075408}",20,8,-22.9347783756257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 1.0, 'e': 0.1901389801015205}",20,12,16.04141401823103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 1.0, 'e': 0.1882470656387468}",30,2,28.938861792307254,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 1.0, 'e': 0.18637397603940997}",20,12,6.348050374715225,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 1.0, 'e': 0.18451952399298926}",25,0,19.386748021711153,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 1.0, 'e': 0.18268352405273466}",30,0,21.1636980503297,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
172,False,"{'a': 1.0, 'e': 0.1808657926171221}",35,17,-12.530627177004682,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 1.0, 'e': 0.17906614791149322}",20,1,-19.61498168762977,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 1.0, 'e': 0.17728440996987782}",25,11,22.557301719203537,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 1.0, 'e': 0.17552040061699686}",30,4,37.18962861244412,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 1.0, 'e': 0.17377394345044514}",20,10,9.71903297269607,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 1.0, 'e': 0.17204486382305054}",30,12,-41.40510213967551,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
178,False,"{'a': 1.0, 'e': 0.17033298882540943}",25,1,25.67925696351009,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 1.0, 'e': 0.1686381472685955}",30,8,-3.7332586951663886,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 1.0, 'e': 0.1669601696670407}",20,6,10.37770122856041,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 1.0, 'e': 0.16529888822158653}",20,14,10.900283513164638,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 1.0, 'e': 0.16365413680270405}",30,16,23.993189861415118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 1.0, 'e': 0.16202575093388075}",25,6,-8.128295608540517,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 1.0, 'e': 0.16041356777517274}",20,9,20.710327802683608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 1.0, 'e': 0.15881742610692068}",20,9,-2.813414066272242,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 1.0, 'e': 0.1572371663136276}",20,9,-20.746380707498925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 1.0, 'e': 0.1556726303679973}",25,9,-12.61509040611437,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
188,False,"{'a': 1.0, 'e': 0.1541236618151314}",20,0,29.235237530981788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 1.0, 'e': 0.15259010575688386}",30,0,14.623780456795298,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
190,False,"{'a': 1.0, 'e': 0.15107180883637084}",20,0,26.417467747840885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 1.0, 'e': 0.14956861922263504}",20,13,-37.928636260290276,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 1.0, 'e': 0.14808038659546244}",20,0,-77.52695556084987,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
193,False,"{'a': 1.0, 'e': 0.14660696213035015}",25,13,13.225054880400192,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 1.0, 'e': 0.14514819848362373}",20,12,17.638362386454222,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 1.0, 'e': 0.14370394977770293}",25,0,28.29544537544008,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
196,False,"{'a': 1.0, 'e': 0.1422740715865136}",30,0,21.65448883584954,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
197,False,"{'a': 1.0, 'e': 0.140858420921045}",20,11,15.46443833623339,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 1.0, 'e': 0.13945685621505094}",20,0,25.274888449214203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 1.0, 'e': 0.13806923731089282}",20,0,-1.2659570449907656,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
200,False,"{'a': 1.0, 'e': 0.13669542544552385}",30,0,52.38239898919979,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
